raw_name,canonical_name,raw_count
Tehran Azad University,Tehran Azad University,1
The Hebrew University of Jerusalem,The Hebrew University of Jerusalem,1
The University of Oxford,The University of Oxford,1
Triangulate Health Ltd,Triangulate Health Ltd,1
Ucr,UC Riverside,1
UCSC Extn,UC Santa Cruz,1
UNALM,UNALM,1
UNIVERSITY OF SKILLS TRAINING AND ENTREPRENUERIAL DEVELOPMENT,UNIVERSITY OF SKILLS TRAINING AND ENTREPRENUERIAL DEVELOPMENT,1
UiT,UiT – The Arctic University of Norway,6
UiT the Arctic University of Norway,UiT – The Arctic University of Norway,1
UiT - The Arctic University of Norway,UiT – The Arctic University of Norway,1
UiT - Arctic University of Norway,UiT – The Arctic University of Norway,1
University of Tromsø,UiT – The Arctic University of Norway,1
Ulm University,Ulm University,1
university ulm,Ulm University,1
Umeå University,Umeå University,1
Unicorn university,Unicorn university,1
University Centre in Svalbard,University Centre in Svalbard,1
University College London,University College London,1
University of Augsburg,University of Augsburg,1
University of Bergen,University of Bergen,2
Universitetet i Bergen,University of Bergen,1
University of Bologna,University of Bologna,2
Università di Bologna,University of Bologna,1
University of Chicago,University of Chicago,1
University of Connecticut,University of Connecticut,2
University of Copenhagen,University of Copenhagen,8
KU,University of Copenhagen,1
University of Eastern Finland,University of Eastern Finland,13
University of Eastern Finland Kuopio,University of Eastern Finland,1
uef,University of Eastern Finland,1
UEF,University of Eastern Finland,1
"Uni Freiburg, Freiburg, Germany",University of Freiburg,1
Strahlenheilkunde Universität Freiburg,University of Freiburg,1
University of Genoa,University of Genoa,1
university of genoa,University of Genoa,1
University of Gothenburg,University of Gothenburg,4
Göteborgs universitet,University of Gothenburg,1
University of Granada,University of Granada,1
University of Groningen,University of Groningen,1
University of Haifa,University of Haifa,1
University of Helsinki,University of Helsinki,15
university of helsinki,University of Helsinki,1
University of Hohenheim,University of Hohenheim,2
University of Ibadan,University of Ibadan,2
University of Iceland,University of Iceland,14
Háskóli Íslands,University of Iceland,1
Univeristy of Jaén,University of Jaén,1
Friedrich-Schiller-University Jena,University of Jena,1
FSU Jena,University of Jena,1
University of Jyväskylä,University of Jyväskylä,2
University of Liege,University of Liege,1
University of Lome,University of Lome,1
University of Michigan,University of Michigan,1
University of Naples Federico-II,University of Naples Federico-II,1
University of Oslo,University of Oslo,16
UiO,University of Oslo,7
"UiO, Sigma2",University of Oslo,1
University of Oulu,University of Oulu,30
university of Oulu,University of Oulu,2
Oulun yliopisto,University of Oulu,1
"INESC TEC, University of Porto",University of Porto,1
University of Pretoria,University of Pretoria,1
University of Sao Paulo,University of Sao Paulo,1
University of Sargodha,University of Sargodha,1
University of Science Techniques and Technologies of Bamako (USTTB),University of Science Techniques and Technologies of Bamako (USTTB),1
USTTB,University of Science Techniques and Technologies of Bamako (USTTB),1
SDU,University of Southern Denmark,1
University of Southern Denmark,University of Southern Denmark,1
University of Stuttgart,University of Stuttgart,2
Stuttgart uni,University of Stuttgart,1
University of Tartu,University of Tartu,21
Tartu University,University of Tartu,1
University of tartu,University of Tartu,1
"University of Tartu, Estonia",University of Tartu,1
"University of Tartu, Tartu Observatory",University of Tartu,1
University of Trieste,University of Trieste,1
University of Tunis El Manar,University of Tunis El Manar,1
University of Turku,University of Turku,6
University of Tübingen,University of Tübingen,1
University of Vaasa,University of Vaasa,1
University of Vienna,University of Vienna,2
University of Washington,University of Washington,1
University of the Basque Country,University of the Basque Country,1
Uniwersytet Warszawski,Uniwersytet Warszawski,1
Univerait,Unknown,1
Uppsala University,Uppsala University,8
Uppsala university,Uppsala University,1
uppsala university,Uppsala University,1
Utsunomiya university,Utsunomiya University,1
VOTO,VOTO,1
VTT,VTT Technical Research Centre of Finland,1
Verkís hf,Verkís hf,1
Warsaw University of Technology,Warsaw University of Technology,1
Wroclaw University of Science and Technology,Wroclaw University of Science and Technology,1
Åbo Akademi University,Åbo Akademi University,2
Abo Akademi University,Åbo Akademi University,1
